type,id,amenity,operator,payment:coins,ref,vending,id,F.hoverCaption,F.allowPopup,F.icon,F.layers,geometry.type,geometry.coordinates
Feature,node/1314131637,vending_machine,,,,parking_tickets,node/1314131637,On-road Parking Bay,false,parkingMeter,here,Point,1.2991715;52.62235
Feature,node/1314131641,vending_machine,,,,parking_tickets,node/1314131641,On-road Parking Bay,false,parkingMeter,here,Point,1.298643;52.6228828
Feature,node/1314143052,vending_machine,,,,parking_tickets,node/1314143052,On-road Parking Bay,false,parkingMeter,here,Point,1.2885091;52.6313502
Feature,node/1314898699,vending_machine,,,,parking_tickets,node/1314898699,On-road Parking Bay,false,parkingMeter,here,Point,1.3039451;52.6220435
Feature,node/1314910532,vending_machine,,,,parking_tickets,node/1314910532,On-road Parking Bay,false,parkingMeter,here,Point,1.2967368;52.6224832
Feature,node/1319011110,vending_machine,,,,parking_tickets,node/1319011110,On-road Parking Bay,false,parkingMeter,here,Point,1.302804;52.6226368
Feature,node/1319011130,vending_machine,,,,parking_tickets,node/1319011130,On-road Parking Bay,false,parkingMeter,here,Point,1.3015689;52.6229547
Feature,node/1319011186,vending_machine,,,,parking_tickets,node/1319011186,On-road Parking Bay,false,parkingMeter,here,Point,1.301821;52.6229834
Feature,node/1319903422,vending_machine,,,,parking_tickets,node/1319903422,On-road Parking Bay,false,parkingMeter,here,Point,1.2871666;52.6303128
Feature,node/1319903426,vending_machine,,,,parking_tickets,node/1319903426,On-road Parking Bay,false,parkingMeter,here,Point,1.2864092;52.6293004
Feature,node/1319903448,vending_machine,,,,parking_tickets,node/1319903448,On-road Parking Bay,false,parkingMeter,here,Point,1.2856578;52.6293562
Feature,node/1323453565,vending_machine,,,,parking_tickets,node/1323453565,On-road Parking Bay,false,parkingMeter,here,Point,1.2914767;52.633995
Feature,node/1323453568,vending_machine,,,,parking_tickets,node/1323453568,On-road Parking Bay,false,parkingMeter,here,Point,1.2924061;52.6340488
Feature,node/1323453580,vending_machine,,,,parking_tickets,node/1323453580,On-road Parking Bay,false,parkingMeter,here,Point,1.2906805;52.6340097
Feature,node/1323563588,vending_machine,,,,parking_tickets,node/1323563588,On-road Parking Bay,false,parkingMeter,here,Point,1.2977558;52.6322254
Feature,node/1323637184,vending_machine,,,,parking_tickets,node/1323637184,On-road Parking Bay,false,parkingMeter,here,Point,1.3044316;52.6295213
Feature,node/1323637219,vending_machine,,,,parking_tickets,node/1323637219,On-road Parking Bay,false,parkingMeter,here,Point,1.3036201;52.6297655
Feature,node/1352541909,vending_machine,,,,parking_tickets,node/1352541909,On-road Parking Bay,false,parkingMeter,here,Point,1.3026621;52.6289023
Feature,node/2463314261,vending_machine,,,,parking_tickets,node/2463314261,On-road Parking Bay,false,parkingMeter,here,Point,1.2959794;52.622326
Feature,node/2581113196,vending_machine,,,,parking_tickets,node/2581113196,On-road Parking Bay,false,parkingMeter,here,Point,1.3002637;52.6245566
Feature,node/2581113203,vending_machine,,,,parking_tickets,node/2581113203,On-road Parking Bay,false,parkingMeter,here,Point,1.2997106;52.6250041
Feature,node/2581113213,vending_machine,,,,parking_tickets,node/2581113213,On-road Parking Bay,false,parkingMeter,here,Point,1.2996594;52.6253484
Feature,node/2581113216,vending_machine,,,,parking_tickets,node/2581113216,On-road Parking Bay,false,parkingMeter,here,Point,1.2991613;52.6256028
Feature,node/2581113224,vending_machine,,,,parking_tickets,node/2581113224,On-road Parking Bay,false,parkingMeter,here,Point,1.2987621;52.6259359
Feature,node/2581113228,vending_machine,,,,parking_tickets,node/2581113228,On-road Parking Bay,false,parkingMeter,here,Point,1.2982117;52.6264166
Feature,node/2584241169,vending_machine,,,,parking_tickets,node/2584241169,On-road Parking Bay,false,parkingMeter,here,Point,1.2991389;52.6249423
Feature,node/3368004361,vending_machine,,,,parking_tickets,node/3368004361,On-road Parking Bay,false,parkingMeter,here,Point,1.302275;52.6272475
Feature,node/3368004363,vending_machine,,,,parking_tickets,node/3368004363,On-road Parking Bay,false,parkingMeter,here,Point,1.3021873;52.6272603
Feature,node/3368004368,vending_machine,,,,parking_tickets,node/3368004368,On-road Parking Bay,false,parkingMeter,here,Point,1.3025957;52.6273866
